"source_row_number","relationship_id","predecessor_id","successor_id","relationship_type","predecessor_status","successor_status","predecessor_type","successor_type","scheduling_mode","lag_hours","lag_calendar_setting","lag_calendar_key","predecessor_calendar","predecessor_endpoint","successor_endpoint","predecessor_endpoint_field","successor_endpoint_field","predecessor_hours_per_day","free_float_hours","free_float","classification","reason_code"
"34","3081465","2608-EBA_PAA_8.0 (draft).xer.1615161","2608-EBA_PAA_8.0 (draft).xer.1621077","PR_FF","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_FinMile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"35","3081466","2608-EBA_PAA_8.0 (draft).xer.1620948","2608-EBA_PAA_8.0 (draft).xer.1614981","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"36","3081467","2608-EBA_PAA_8.0 (draft).xer.1620947","2608-EBA_PAA_8.0 (draft).xer.1620948","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"37","3081468","2608-EBA_PAA_8.0 (draft).xer.1620946","2608-EBA_PAA_8.0 (draft).xer.1620947","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"38","3081469","2608-EBA_PAA_8.0 (draft).xer.1620945","2608-EBA_PAA_8.0 (draft).xer.1620946","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"39","3081470","2608-EBA_PAA_8.0 (draft).xer.1620944","2608-EBA_PAA_8.0 (draft).xer.1620945","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"40","3081471","2608-EBA_PAA_8.0 (draft).xer.1620943","2608-EBA_PAA_8.0 (draft).xer.1620944","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"41","3081474","2608-EBA_PAA_8.0 (draft).xer.1621031","2608-EBA_PAA_8.0 (draft).xer.1614931","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"42","3081475","2608-EBA_PAA_8.0 (draft).xer.1621035","2608-EBA_PAA_8.0 (draft).xer.1621030","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_FinMile","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"43","3081479","2608-EBA_PAA_8.0 (draft).xer.1614915","2608-EBA_PAA_8.0 (draft).xer.1620961","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"44","3081480","2608-EBA_PAA_8.0 (draft).xer.1621076","2608-EBA_PAA_8.0 (draft).xer.1614913","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"45","3081481","2608-EBA_PAA_8.0 (draft).xer.1620972","2608-EBA_PAA_8.0 (draft).xer.1614920","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"46","3081482","2608-EBA_PAA_8.0 (draft).xer.1620970","2608-EBA_PAA_8.0 (draft).xer.1614920","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"47","3081486","2608-EBA_PAA_8.0 (draft).xer.1617289","2608-EBA_PAA_8.0 (draft).xer.1620990","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.6677",,,"","",,,"","Historical","HistoricalSuccessor"
"48","3081487","2608-EBA_PAA_8.0 (draft).xer.1617289","2608-EBA_PAA_8.0 (draft).xer.1620980","PR_SS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.6677",,,"","",,,"","Historical","HistoricalSuccessor"
"49","3081488","2608-EBA_PAA_8.0 (draft).xer.1621075","2608-EBA_PAA_8.0 (draft).xer.1614754","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_LOE","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"50","3081489","2608-EBA_PAA_8.0 (draft).xer.1621075","2608-EBA_PAA_8.0 (draft).xer.1621072","PR_SS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"51","3081490","2608-EBA_PAA_8.0 (draft).xer.1615007","2608-EBA_PAA_8.0 (draft).xer.1621075","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"52","3081491","2608-EBA_PAA_8.0 (draft).xer.1621071","2608-EBA_PAA_8.0 (draft).xer.1620980","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"53","3081492","2608-EBA_PAA_8.0 (draft).xer.1615007","2608-EBA_PAA_8.0 (draft).xer.1621072","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"54","3081493","2608-EBA_PAA_8.0 (draft).xer.1620997","2608-EBA_PAA_8.0 (draft).xer.1615015","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"55","3081494","2608-EBA_PAA_8.0 (draft).xer.1621002","2608-EBA_PAA_8.0 (draft).xer.1620997","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_FinMile","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"56","3081495","2608-EBA_PAA_8.0 (draft).xer.1620989","2608-EBA_PAA_8.0 (draft).xer.1621002","PR_FF","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_FinMile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"57","3081496","2608-EBA_PAA_8.0 (draft).xer.1620984","2608-EBA_PAA_8.0 (draft).xer.1620989","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"58","3081497","2608-EBA_PAA_8.0 (draft).xer.1620979","2608-EBA_PAA_8.0 (draft).xer.1620984","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"59","3081498","2608-EBA_PAA_8.0 (draft).xer.1615007","2608-EBA_PAA_8.0 (draft).xer.1620979","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"60","3081499","2608-EBA_PAA_8.0 (draft).xer.1620978","2608-EBA_PAA_8.0 (draft).xer.1615015","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"61","3081500","2608-EBA_PAA_8.0 (draft).xer.1620987","2608-EBA_PAA_8.0 (draft).xer.1620988","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"62","3081501","2608-EBA_PAA_8.0 (draft).xer.1620988","2608-EBA_PAA_8.0 (draft).xer.1621074","PR_FF","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"63","3081503","2608-EBA_PAA_8.0 (draft).xer.1620985","2608-EBA_PAA_8.0 (draft).xer.1620988","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"64","3081505","2608-EBA_PAA_8.0 (draft).xer.1620975","2608-EBA_PAA_8.0 (draft).xer.1620978","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"65","3081506","2608-EBA_PAA_8.0 (draft).xer.1620977","2608-EBA_PAA_8.0 (draft).xer.1620975","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"66","3081507","2608-EBA_PAA_8.0 (draft).xer.1620983","2608-EBA_PAA_8.0 (draft).xer.1620977","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"67","3081508","2608-EBA_PAA_8.0 (draft).xer.1621073","2608-EBA_PAA_8.0 (draft).xer.1620983","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"68","3081509","2608-EBA_PAA_8.0 (draft).xer.1620976","2608-EBA_PAA_8.0 (draft).xer.1621073","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"69","3081510","2608-EBA_PAA_8.0 (draft).xer.1614754","2608-EBA_PAA_8.0 (draft).xer.1620976","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_LOE","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.6677",,,"","",,,"","Historical","HistoricalSuccessor"
"70","3081511","2608-EBA_PAA_8.0 (draft).xer.1615007","2608-EBA_PAA_8.0 (draft).xer.1614754","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_LOE","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"71","3081513","2608-EBA_PAA_8.0 (draft).xer.1620987","2608-EBA_PAA_8.0 (draft).xer.1620999","PR_FF","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_FinMile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"72","3081514","2608-EBA_PAA_8.0 (draft).xer.1620987","2608-EBA_PAA_8.0 (draft).xer.1620995","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"73","3081515","2608-EBA_PAA_8.0 (draft).xer.1620983","2608-EBA_PAA_8.0 (draft).xer.1617654","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"74","3081517","2608-EBA_PAA_8.0 (draft).xer.1621071","2608-EBA_PAA_8.0 (draft).xer.1617656","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"75","3081519","2608-EBA_PAA_8.0 (draft).xer.1617656","2608-EBA_PAA_8.0 (draft).xer.1617289","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"76","3081520","2608-EBA_PAA_8.0 (draft).xer.1620983","2608-EBA_PAA_8.0 (draft).xer.1617833","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"77","3081521","2608-EBA_PAA_8.0 (draft).xer.1620981","2608-EBA_PAA_8.0 (draft).xer.1620983","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"78","3081523","2608-EBA_PAA_8.0 (draft).xer.1620982","2608-EBA_PAA_8.0 (draft).xer.1620984","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"79","3081525","2608-EBA_PAA_8.0 (draft).xer.1620985","2608-EBA_PAA_8.0 (draft).xer.1618127","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
