Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,ExpectedReason,Message
"PR_FS/TK_NotStart/TK_NotStart/TT_WBS/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_WBS","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_NotStart/TT_Unknown/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Unknown","TT_Task","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_NotStart/TT_Unknown/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_Unknown","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_Task/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_Task/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_Rsrc/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Rsrc","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_Rsrc/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Rsrc","","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_Mile/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Mile","TT_Task","","2026-01-01 08:00","0","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_Mile/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Mile","","2026-01-01 08:00","8","0","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_FinMile/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_FinMile","TT_Task","","2026-01-01 08:00","0","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_FinMile/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T17:00:00","TT_Task","TT_FinMile","","2026-01-01 08:00","8","0","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_Active/TT_LOE/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_LOE","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_LOE/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_LOE","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_WBS/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_WBS","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_WBS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_WBS","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_Unknown/predecessor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Unknown","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Active/TT_Unknown/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_Unknown","","2026-01-01 08:00","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_Complete/TT_Task/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Task/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Rsrc/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Rsrc","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Rsrc/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Rsrc","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Mile/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Mile","TT_Task","","2026-01-01 08:00","0","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Mile/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Mile","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_FinMile/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_FinMile","TT_Task","","2026-01-01 08:00","0","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_FinMile/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_FinMile","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_LOE/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_LOE","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_LOE/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_LOE","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_WBS/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_WBS","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_WBS/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_WBS","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Unknown/predecessor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Unknown","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_NotStart/TK_Complete/TT_Unknown/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Unknown","","2026-01-01 08:00","8","0","2026-01-02 17:00","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"PR_FS/TK_Active/TK_NotStart/TT_Task/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_Task/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_Rsrc/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_Rsrc/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Rsrc","2026-01-01 08:00","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_Mile/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Mile","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_Mile/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Mile","2026-01-01 08:00","","8","0","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_FinMile/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_FinMile","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_FinMile/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T17:00:00","TT_Task","TT_FinMile","2026-01-01 08:00","","8","0","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_NotStart/TT_LOE/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_LOE","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_NotStart/TT_LOE/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_LOE","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_NotStart/TT_WBS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_WBS","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_NotStart/TT_WBS/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_WBS","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_NotStart/TT_Unknown/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Unknown","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_NotStart/TT_Unknown/successor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_Unknown","2026-01-01 08:00","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_Active/TK_Active/TT_Task/predecessor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_Task/successor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_Rsrc/predecessor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_Rsrc/successor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Rsrc","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_Mile/predecessor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Mile","TT_Task","2026-01-01 08:00","2026-01-01 08:00","0","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_Mile/successor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Mile","2026-01-01 08:00","2026-01-01 08:00","8","0","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_FinMile/predecessor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_FinMile","TT_Task","2026-01-01 08:00","2026-01-01 08:00","0","8","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_Active/TK_Active/TT_FinMile/successor","PR_FS","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T17:00:00","TT_Task","TT_FinMile","2026-01-01 08:00","2026-01-01 08:00","8","0","2026-01-02 17:00","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
