Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,AllowanceStatus,CalculationBasis,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,PredecessorSuspendDate,PredecessorResumeDate,ExpectedReason,Message
"active-actual-start-after-remaining-finish/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","ActualStartAfterRemainingEndpoint","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterRemainingEndpoint","An active endpoint's actual start is after its exported remaining start or finish."
"active-negative-remaining-duration/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FS/predecessor","PR_FS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","","","HistoricalFixedPredecessor","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_FS/predecessor","PR_FS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","","","HistoricalFixedPredecessor","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"status-token/PR_FS/successor/","PR_FS","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/successor/TK_Bogus","PR_FS","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/successor/TK_Active ","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"status-token/PR_FS/successor/tk_notstart","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-malformed-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","InvalidData","None","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-actual-start-after-data-date/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","RequiresContext","UnresolvedContext","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","","","ActualStartAfterDataDate","The recorded actual start is after its owning project's Data Date; remaining scheduling context is not established."
"active-actual-start-after-remaining-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","ActualStartAfterRemainingEndpoint","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","","","ActualStartAfterRemainingEndpoint","An active endpoint's actual start is after its exported remaining start or finish."
"active-negative-remaining-duration/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","","","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","","","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","","","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","","","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"status-token/PR_FF/predecessor/","PR_FF","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/predecessor/TK_Bogus","PR_FF","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/predecessor/TK_Active ","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"status-token/PR_FF/predecessor/tk_notstart","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FF/predecessor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FF/predecessor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-malformed-actual-start/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","InvalidData","None","","","","","","","","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-actual-start-after-data-date/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","RequiresContext","UnresolvedContext","","","","","","","","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterDataDate","The recorded actual start is after its owning project's Data Date; remaining scheduling context is not established."
"active-actual-start-after-remaining-finish/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","ActualStartAfterRemainingEndpoint","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterRemainingEndpoint","An active endpoint's actual start is after its exported remaining start or finish."
"active-negative-remaining-duration/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FF/predecessor","PR_FF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","","","HistoricalFixedPredecessor","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_FF/predecessor","PR_FF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","","","HistoricalFixedPredecessor","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"status-token/PR_FF/successor/","PR_FF","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/successor/TK_Bogus","PR_FF","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/successor/TK_Active ","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"status-token/PR_FF/successor/tk_notstart","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-malformed-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","InvalidData","None","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-actual-start-after-data-date/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","RequiresContext","UnresolvedContext","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","","","ActualStartAfterDataDate","The recorded actual start is after its owning project's Data Date; remaining scheduling context is not established."
"active-actual-start-after-remaining-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","ActualStartAfterRemainingEndpoint","InvalidData","None","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","","","ActualStartAfterRemainingEndpoint","An active endpoint's actual start is after its exported remaining start or finish."
"active-negative-remaining-duration/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","","","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","","","CalculatedRetainedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","","","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","Historical","HistoricalActualEvent","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","","","HistoricalSuccessor","The successor is complete; there is no remaining successor event for this metric."
"status-token/PR_SS/predecessor/","PR_SS","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/predecessor/TK_Bogus","PR_SS","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/predecessor/TK_Active ","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"status-token/PR_SS/predecessor/tk_notstart","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","restart_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_SS/predecessor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_SS/predecessor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-malformed-actual-start/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","InvalidData","None","","","","","","","","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-actual-start-after-data-date/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","RequiresContext","UnresolvedContext","","","","","","","","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterDataDate","The recorded actual start is after its owning project's Data Date; remaining scheduling context is not established."
"active-actual-start-after-remaining-finish/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","ActualStartAfterRemainingEndpoint","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterRemainingEndpoint","An active endpoint's actual start is after its exported remaining start or finish."
