Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,AllowanceStatus,CalculationBasis,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,PredecessorSuspendDate,PredecessorResumeDate,ExpectedReason,Message
"fixed-actual-start/PR_SS/TK_Active/ProgressOverride/lag=-8","PR_SS","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","-8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SS/TK_Active/ProgressOverride/lag=0","PR_SS","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","0","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SS/TK_Active/ProgressOverride/lag=8","PR_SS","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SS/TK_Active/ProgressOverride/lag=","PR_SS","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SS/TK_Active/ProgressOverride/lag=bad-lag","PR_SS","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","bad-lag","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/RetainedLogic/lag=-8","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","-8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/RetainedLogic/lag=0","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/RetainedLogic/lag=8","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/RetainedLogic/lag=","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/RetainedLogic/lag=bad-lag","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","bad-lag","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/ProgressOverride/lag=-8","PR_SF","TK_ACTIVE","TK_NOTSTART","ProgressOverride","ProgressOverride","-8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/ProgressOverride/lag=0","PR_SF","TK_ACTIVE","TK_NOTSTART","ProgressOverride","ProgressOverride","0","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/ProgressOverride/lag=8","PR_SF","TK_ACTIVE","TK_NOTSTART","ProgressOverride","ProgressOverride","8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/ProgressOverride/lag=","PR_SF","TK_ACTIVE","TK_NOTSTART","ProgressOverride","ProgressOverride","","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_NotStart/ProgressOverride/lag=bad-lag","PR_SF","TK_ACTIVE","TK_NOTSTART","ProgressOverride","ProgressOverride","bad-lag","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/RetainedLogic/lag=-8","PR_SF","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","-8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/RetainedLogic/lag=0","PR_SF","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/RetainedLogic/lag=8","PR_SF","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/RetainedLogic/lag=","PR_SF","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/RetainedLogic/lag=bad-lag","PR_SF","TK_ACTIVE","TK_ACTIVE","RetainedLogic","RetainedLogic","bad-lag","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/ProgressOverride/lag=-8","PR_SF","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","-8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/ProgressOverride/lag=0","PR_SF","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","0","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/ProgressOverride/lag=8","PR_SF","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","8","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/ProgressOverride/lag=","PR_SF","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
"fixed-actual-start/PR_SF/TK_Active/ProgressOverride/lag=bad-lag","PR_SF","TK_ACTIVE","TK_ACTIVE","ProgressOverride","ProgressOverride","bad-lag","Unsupported","FixedActualPredecessorStart","FixedEvent","FixedActualStart","","","","act_start_date","2026-01-01T08:00:00","","","TT_Task","TT_Task","2026-01-01 08:00","2026-01-01 08:00","8","8","2026-01-02 17:00","","","FixedActualPredecessorStart","The relationship uses the predecessor's fixed actual start; remaining work delay cannot move this event. Any fixed release or unexpired lag is separate from remaining allowance."
